"Country","Year","IDPT","IM","AFR","BR","DR","HEP","PSE","MR","NoOfPatents","hindex","NoOfDocs","GDP","HET","X","Region","FIPS_CNTRY"
"Afghanistan",1999,27,189,"162.24","50.53","12.61",,,95.2,,21,3,,,1,"Asia & Pacific","AF"
"Afghanistan",2000,24,189,"158.33","50.00","12.31",,,93.5,2,21,2,,,221,"Asia & Pacific","AF"
"Afghanistan",2001,33,189,"154.41","49.28","11.99",,,91.6,2,21,2,"115.3",,438,"Asia & Pacific","AF"
"Afghanistan",2002,36,189,"150.50","48.41","11.65",6.73,,89.6,,21,4,186,,659,"Asia & Pacific","AF"
"Afghanistan",2003,41,189,"143.90","47.40","11.30",6.54,,87.5,2,21,11,"198.3",,883,"Asia & Pacific","AF"
"Afghanistan",2004,50,189,"137.29","46.29","10.93","10.48",,85.3,,21,17,"220.1",,1107,"Asia & Pacific","AF"
"Afghanistan",2005,58,189,"130.69","45.08","10.55",9.16,,83.2,,21,19,"252.4",,1332,"Asia & Pacific","AF"
"Afghanistan",2006,58,53,124079,"43.76","10.16","12.38",,"81.2",,21,39,"275.4",,1561,"Asia & Pacific","AF"
"Afghanistan",2007,63,55,117473,"42.36",9.77,"10.90",,"79.3",,21,29,"373.6",,1753,"Asia & Pacific","AF"
"Afghanistan",2008,73,69,111347,"40.90",9.39,"19.07",,"57.8",,21,37,377,,1945,"Asia & Pacific","AF"
"Afghanistan",2009,75,70,105221,"39.41",9.02,"21.09",,"58.7",,21,49,"450.7",,2137,"Asia & Pacific","AF"
"Afghanistan",2010,73,76,99096,"37.95",8.68,"20.87",,"59.6",,21,93,"561.2",,2329,"Asia & Pacific","AF"
"Albania",1999,97,27,34,"19.77",5.8,"43.28",9621,26.5,1,36,35,"1035.1","1.74",2,"Europe","AL"
"Albania",2000,97,23,32.7,"18.94",5.73,"36.10",1008,25.3,1,36,37,"1115.5",697,222,"Europe","AL"
"Albania",2001,97,21,31.41,"18.05",5.68,"38.20",10470,24,1,36,31,1245,724,439,"Europe","AL"
"Albania",2002,98,23,30.11,"17.12",5.66,"34.81",989,22.9,,36,40,"1363.3","0.7",660,"Europe","AL"
"Albania",2003,97,21,28,"16.19",5.69,"35.94",1068,21.8,1,36,48,"1744.9","0.96",884,"Europe","AL"
"Albania",2004,97,21,25.88,"15.29",5.76,"41.99",10727,20.7,1,36,50,"2320.9",992,1108,"Europe","AL"
"Albania",2005,98,20,23.77,"14.47",5.87,"44.25",1136,19.8,,36,51,"2620.8","4.22",1333,"Europe","AL"
"Albania",2006,97,95,21655,"13.79",6.01,"43.94",107565,"18.9",1,36,70,"2872.3","6.17",1562,"Europe","AL"
"Albania",2007,98,97,19541,"13.26",6.17,"40.84",1116433,"18.1",,36,75,"3380.9","1.31",1754,"Europe","AL"
"Albania",2008,64,59,18692,"12.88",6.32,"43.73",,"77.6",,36,98,"4108.4","3.47",1946,"Europe","AL"
"Albania",2009,63,60,17843,"12.67",6.47,"47.09",,"75.9",,36,120,"3845.7",765,2138,"Europe","AL"
"Albania",2010,66,62,16995,"12.61",6.6,"45.39",,"74.3",,36,212,"3764.3",894,2330,"Europe","AL"
"Algeria",1999,83,79,12.79,"20.18",5.26,"69.41",,31.3,,78,463,"1555.2","4.44",3,"Arab States","AG"
"Algeria",2000,86,87,11.76,"19.59",5.25,"73.33",,29.8,,78,486,"1727.3","4.17",223,"Arab States","AG"
"Algeria",2001,89,84,10.72,"19.34",5.26,"77.43",,28.2,,78,536,"1702.8",616,440,"Arab States","AG"
"Algeria",2002,86,86,9.68,"19.41",5.29,"76.47",,26.6,,78,620,"1742.6","1.06",661,"Arab States","AG"
"Algeria",2003,87,88,9.68,"19.75",5.33,"77.82",,25.1,,78,813,"2056.3","2.29",885,"Arab States","AG"
"Algeria",2004,86,87,9.68,"20.33",5.38,"72.41",0,23.8,,78,"1.14",2550,"1.05",1109,"Arab States","AG"
"Algeria",2005,88,93,9.68,"21.08",5.45,"72.71",4,22.6,,78,"1.22","3038.7","1.48",1334,"Arab States","AG"
"Algeria",2006,95,91,9686,"21.92",5.52,"74.39",,"21.6",,78,"1.74","3391.4","1.62",1563,"Arab States","AG"
"Algeria",2007,95,92,9687,"22.76",5.59,"77.12",,"20.7",,78,"1.86","3845.8",716,1755,"Arab States","AG"
"Algeria",2008,99,98,9756,"23.52",5.67,"80.03",,"17.4",,78,"2.4","4786.5",657,1947,"Arab States","AG"
"Algeria",2009,98,97,9825,"24.12",5.74,"79.35",,"16.8",1,78,"2.98","3771.3",626,2139,"Arab States","AG"
"Algeria",2010,99,99,9895,"24.51",5.8,"79.15",,"16.1",,78,"3.05","4349.6",505,2331,"Arab States","AG"
"American Samoa",1999,,,,,,,1,,,18,4,,,4,"Asia & Pacific","AQ"
"American Samoa",2000,,,,,,,,,,18,2,,,224,"Asia & Pacific","AQ"
"American Samoa",2001,,,,,,,,,,18,3,,,441,"Asia & Pacific","AQ"
"American Samoa",2002,,,,,,,,,,18,6,,,662,"Asia & Pacific","AQ"
"American Samoa",2003,,,,,,,,,,18,4,,,886,"Asia & Pacific","AQ"
"American Samoa",2004,,,,,,,,,,18,7,,,1110,"Asia & Pacific","AQ"
"American Samoa",2005,,,,,,,,,,18,4,,,1335,"Asia & Pacific","AQ"
"Andorra",2000,,,,,,,,4.1,,16,1,"17334.3","10.9",225,"Europe","AN"
"Andorra",2001,,,,,,,,3.9,,16,4,"18599.4","21.8",442,"Europe","AN"
"Andorra",2002,,,,,,,,3.8,,16,3,"20326.9",17,663,"Europe","AN"
"Andorra",2003,,,,,,,,3.7,,16,8,"25355.3","20.5",887,"Europe","AN"
"Andorra",2004,,,,,,,,3.5,,16,4,"29372.2","26.7",1111,"Europe","AN"
"Andorra",2005,,,,,,,,3.3,,16,10,31269,"26.4",1336,"Europe","AN"
"Angola",1999,21,245,"210.91","50.70","20.08","51.87",,"121.8",1,25,12,"455.4",,5,"Africa","AO"
"Angola",2000,31,250,"208.83","50.48","19.41","49.47",526,"120.9",2,25,15,"655.6",,226,"Africa","AO"
"Angola",2001,42,255,"206.76","50.26","18.75","48.31",5,"119.8",2,25,13,"621.2",,443,"Africa","AO"
"Angola",2001,42,255,"206.76","50.26","18.75","48.31",5,"119.8",2,25,13,"621.2",,444,"Africa","AO"
"Angola",2002,47,260,"204.68","50.03","18.14","42.19",,"118.9",5,25,21,"839.5",,664,"Africa","AO"
"Angola",2003,46,265,"202.19","49.80","17.57","42.89",,"117.8",5,25,9,"920.1",,888,"Africa","AO"
"Angola",2004,47,270,"199.71","49.54","17.07","47.86",,"117.1",4,25,20,"1229.3",,1112,"Africa","AO"
"Angola",2005,47,276,"197.22","49.22","16.64","50.00",799,"115.9",1,25,31,"1706.5",,1337,"Africa","AO"
"Angola",2006,44,48,194737,"48.83","16.26","66.54",745479,"114.3",,25,36,"2440.6",,1564,"Africa","AO"
"Angola",2007,83,88,192251,"48.33","15.91","65.44",,"112.1",,25,33,"3412.7",,1756,"Africa","AO"
"Angola",2008,93,88,187832,"47.74","15.56","70.65",1142941,"19.8",,25,33,"4596.3",,1948,"Africa","AO"
"Angola",2009,95,92,183413,"47.06","15.23","60.95",,"19.1",,25,40,"3988.7",,2140,"Africa","AO"
"Angola",2010,95,95,178994,"46.33","14.89","60.48",,"18.4",,25,42,"4218.6",,2332,"Africa","AO"
"Anguilla",1999,,,,,,,0,,,4,2,,,6,"South/Latin America","AV"
"Antigua and Barbuda",1999,99,4.5,"20.35",,,,,14.9,,9,3,,,7,"South/Latin America",
"Antigua and Barbuda",2000,95,5.9,65.16,"20.24",,,,14.3,,9,1,,,227,"South/Latin America",
"Antigua and Barbuda",2001,97,1.5,63.97,"20.02",,,,13.8,,9,1,,,445,"South/Latin America",
"Antigua and Barbuda",2002,98,5.7,62.78,"19.72",,,,13.2,,9,3,,,665,"South/Latin America",
"Antigua and Barbuda",2003,99,1.4,61.32,"19.37",,,,12.7,,9,3,,,889,"South/Latin America",
"Antigua and Barbuda",2004,97,4.9,59.87,"18.99",,,,12.2,1,9,2,,,1113,"South/Latin America",
"Antigua and Barbuda",2005,99,8.4,58.41,"18.60",,,,11.7,,9,7,,,1338,"South/Latin America",
"Antigua and Barbuda",2006,99,99,56951,"18.21",,,,"11.3",,9,5,,,1565,"South/Latin America",
"Antigua and Barbuda",2007,99,99,55493,"17.85",,,,"10.9",,9,9,,,1757,"South/Latin America",
"Antigua and Barbuda",2008,81,79,54247,"17.51",,,,"109.7",,9,10,,,1949,"South/Latin America",
"Antigua and Barbuda",2009,73,77,53001,"17.22",,,,"107.1",,9,7,,,2141,"South/Latin America",
"Antigua and Barbuda",2010,91,93,51755,"16.97",,,894735,"104.6",,9,4,,,2333,"South/Latin America",
"Argentina",1999,86,42,66.16,"19.10",7.83,"55.07",15887,18.5,9,222,"4.92","7764.7","8.1",8,"South/Latin America","AR"
"Argentina",2000,83,40,64.34,"18.76",7.81,"53.90",16292,18,9,222,"5.03","7701.4","9.35",228,"South/Latin America","AR"
"Argentina",2001,83,39,62.52,"18.45",7.8,"54.03",1628,17.6,9,222,"5.26","7208.8","9.27",446,"South/Latin America","AR"
"Argentina",2002,93,37,60.7,"18.18",7.79,"53.56",1036,17.1,2,222,"5.66","2711.9","7.67",666,"South/Latin America","AR"
"Argentina",2003,96,36,59.94,"17.96",7.78,"51.74",11645,16.6,5,222,"5.93","3413.1","8.9",890,"South/Latin America","AR"
"Argentina",2004,93,35,59.18,"17.79",7.77,"51.49",1186,15.9,9,222,"6.24","3997.2","7.72",1114,"South/Latin America","AR"
"Argentina",2005,98,33,58.42,"17.66",7.76,"53.53",,15.3,7,222,"6.64","4740.1","6.83",1339,"South/Latin America","AR"
"Argentina",2006,91,97,57660,"17.56",7.75,"54.70",1463453,"14.7",7,222,"7.27","5490.4","7.05",1566,"South/Latin America","AR"
"Argentina",2007,91,94,56900,"17.48",7.74,"58.25",1466402,"14.2",,222,"7.71",6630,"6.59",1758,"South/Latin America","AR"
"Argentina",2008,99,99,56391,"17.40",7.74,"61.84",,"10.5",2,222,"8.62","8231.2","9.02",1950,"South/Latin America","AR"
"Argentina",2009,99,99,55882,"17.30",7.73,"66.02",691662,"10.2",3,222,"9.66","7674.3","8.69",2142,"South/Latin America","AR"
"Argentina",2010,98,98,55372,"17.19",7.73,"63.96",,"9.8",8,222,"10.18",9133,"7.5",2334,"South/Latin America","AR"
"Armenia",1999,91,58,43.45,"13.29",8.53,"28.38",0,27.8,3,105,351,"596.5","2.28",9,"CIS (Commonwealth of Independant States)","AM"
"Armenia",2000,93,61,40.23,"13.20",8.48,"18.19",,26.5,2,105,421,"621.4","4.73",229,"CIS (Commonwealth of Independant States)","AM"
"Armenia",2001,94,65,37.01,"13.30",8.44,"26.79",,25.3,2,105,401,"692.3","10.4",447,"CIS (Commonwealth of Independant States)","AM"
"Armenia",2002,94,69,33.79,"13.49",8.41,"25.21",,24.1,,105,405,"779.9","1.62",667,"CIS (Commonwealth of Independant States)","AM"
"Armenia",2003,94,73,32.63,"13.71",8.41,"27.26",,23,,105,475,"924.6","1.41",891,"CIS (Commonwealth of Independant States)","AM"
"Armenia",2004,91,75,31.48,"13.91",8.42,"25.53",1,21.9,,105,515,"1182.1","1.25",1115,"CIS (Commonwealth of Independant States)","AM"
"Armenia",2005,90,77,30.33,"14.06",8.44,"36.27",1365,20.8,1,105,572,"1625.4",619,1340,"CIS (Commonwealth of Independant States)","AM"
"Armenia",2006,87,92,29179,"14.15",8.48,"44.84",1357852,"19.8",,105,578,"2126.1","1.08",1567,"CIS (Commonwealth of Independant States)","AM"
"Armenia",2007,88,92,28027,"14.20",8.51,"48.72",1346559,"18.9",,105,580,"3079.1",876,1759,"CIS (Commonwealth of Independant States)","AM"
"Armenia",2008,94,96,27845,"14.22",8.55,"46.45",1575898,"13.8",,105,582,"3916.7","1.41",1951,"CIS (Commonwealth of Independant States)","AM"
"Armenia",2009,94,99,27663,"14.20",8.58,"44.22",1590112,"13.5",,105,655,"2913.6","2.18",2143,"CIS (Commonwealth of Independant States)","AM"
"Armenia",2010,94,98,27482,"14.14",8.61,"42.14",1501914,"13.3",,105,758,"3124.8","1.85",2335,"CIS (Commonwealth of Independant States)","AM"
"Aruba",2000,,16,43.59,"14.19",6.97,,,,,8,2,"20619.6",,230,"South/Latin America","AA"
"Aruba",2001,,16,42.36,"13.78",7.02,,,,,8,1,"20671.5",,448,"South/Latin America","AA"
"Aruba",2002,,16,"13.39",7.08,20434,,,,,8,2,"20433.7",,668,"South/Latin America","AA"
"Aruba",2003,,16,39.57,"13.02",7.15,,,,,8,1,"20834.9",,892,"South/Latin America","AA"
"Aruba",2004,,16,38.03,"12.66",7.22,,,,,8,2,"22566.7",,1116,"South/Latin America","AA"
"Aruba",2005,,16,36.48,"12.31",7.3,,,,,8,3,"23302.8","6.41",1341,"South/Latin America","AA"
"Aruba",2006,,,34938,"11.98",7.4,,,,,,,"24015.4",,1568,"South/Latin America","AA"
"Aruba",2007,,,33393,"11.65",7.51,,,,,8,1,"25921.3",,1760,"South/Latin America","AA"
"Aruba",2008,89,94,32027,"11.35",7.63,,1426845,"17.9",,,,"27549.3",,1952,"South/Latin America","AA"
"Aruba",2009,93,96,30661,"11.06",7.76,,1345122,"17.1",,8,2,"24639.9","3.21",2144,"South/Latin America","AA"
"Aruba",2010,94,97,29294,"10.80",7.91,,1240051,"16.2",,8,7,"24289.1","3.29",2336,"South/Latin America","AA"
"Australia",1999,88,6.5,18.24,"13.10",6.8,"68.38",2,5.3,64,514,"25.5","20546.7","11.1",10,"Asia & Pacific","AS"
"Australia",2000,90,6.2,17.73,"13.00",6.7,"66.81",1359,5.1,62,514,"25.08","21678.5","15.4",231,"Asia & Pacific","AS"
"Australia",2001,92,5.8,17.23,"12.70",6.6,"66.28",1,5,62,514,"26.52","19504.6","15.5",449,"Asia & Pacific","AS"
"Australia",2002,92,5.9,16.72,"12.80",6.8,"66.91",5,5,93,514,"28.04",20072,"16.5",669,"Asia & Pacific","AS"
"Australia",2003,93,5.5,16.58,"12.60",6.6,"66.11",0,4.9,82,514,"31.69","23455.8","13.7",893,"Asia & Pacific","AS"
"Australia",2004,92,6.1,16.44,"12.30",6.5,"66.68",2,4.8,60,514,"36.09",30464,"13.5",1117,"Asia & Pacific","AS"
"Australia",2005,92,5.9,16.3,"12.80",6.4,"66.89",1359,4.7,59,514,"41.16","34011.7","12.8",1342,"Asia & Pacific","AS"
"Australia",2006,92,94,16165,"12.90",6.4,"66.59",1316061,"4.6",57,514,"44.87",36113,"12.3",1569,"Asia & Pacific","AS"
"Australia",2007,92,94,16025,"14.10",6.7,"67.51",1301484,"4.4",35,514,"48.25","40996.3","10.3",1761,"Asia & Pacific","AS"
"Australia",2008,,,15232,"14.00",6.7,"67.86",,,31,514,"51.3","49672.7","10.8",1953,"Asia & Pacific","AS"
"Australia",2009,,,14439,"13.90",6.5,"68.51",,,5,514,"56.78","42721.9","11.9",2145,"Asia & Pacific","AS"
"Australia",2010,,,13645,"13.70",6.5,"67.83",,,,514,"62.12","51824.8","11.9",2337,"Asia & Pacific","AS"
"Austria",1999,74,16,14.21,9.65,9.66,"75.71",1169,4.7,610,378,"8.44","26563.2","12.3",11,"Europe","AU"
"Austria",2000,81,17,13.92,9.6,9.5,"75.64",1103,4.6,639,378,"8.33","23974.2","14.6",232,"Europe","AU"
"Austria",2001,84,14,13.63,9.4,9.3,"75.07",1120,4.5,639,378,"9.02","23833.8","14.6",450,"Europe","AU"
"Austria",2002,83,15,13.35,9.7,9.4,"74.77",11213,4.4,428,378,"9.54","25679.1","16.4",670,"Europe","AU"
"Austria",2003,84,13,12.9,9.5,9.5,"74.49",1077,4.4,432,378,"11.09","31268.6","15.5",894,"Europe","AU"
"Austria",2004,83,13,12.46,9.7,9.1,"74.69",1019,4.2,444,378,"12.25","35662.2","16.2",1118,"Europe","AU"
"Austria",2005,86,13,12.01,9.5,9.1,"75.32",1089,4,348,378,"13.54","37067.3","13.7",1343,"Europe","AU"
"Austria",2005,86,13,12.01,9.5,9.1,"75.32",1089,4,348,378,"13.54","37067.3","13.7",1344,"Europe","AU"
"Austria",2006,83,80,11570,9.4,9,"75.66",109966,"3.8",356,378,"14.04","39299.6","13.3",1570,"Europe","AU"
"Austria",2007,85,79,11126,9.2,9,"75.81",1097467,"3.7",257,378,"15.08","45181.5","11.3",1762,"Europe","AU"
"Austria",2008,92,94,9726,9.3,9,"76.32",125879,"4.3",185,378,"15.94","49679.1",11,1954,"Europe","AU"
"Austria",2009,92,94,8326,9.1,9.3,"76.22",1339598,"4.3",142,378,"17.02","45872.2","11.6",2146,"Europe","AU"
"Austria",2010,92,94,6926,9.4,9.2,"74.68",1432945,"4.2",127,378,"17.89","45016.7","11.9",2338,"Europe","AU"
"Azerbaijan",1999,75,710,38.57,"14.70",5.8,"18.39",3,62.6,,45,193,"573.9","8.54",12,"CIS (Commonwealth of Independant States)","AJ"
"Azerbaijan",2000,76,682,37.16,"14.50",5.8,"18.56",1850,59.2,,45,183,"655.1","4.59",233,"CIS (Commonwealth of Independant States)","AJ"
"Azerbaijan",2001,77,633,35.75,"13.60",5.6,"18.88",1877,55.7,,45,174,"703.7","8.85",451,"CIS (Commonwealth of Independant States)","AJ"
"Azerbaijan",2002,76,567,34.34,"13.50",5.7,"17.73",114,52.4,,45,283,"763.1","7.9",671,"CIS (Commonwealth of Independant States)","AJ"
"Azerbaijan",2003,77,496,35.57,"13.80",6,"12.64",1152,49.2,,45,342,"883.6","5.15",895,"CIS (Commonwealth of Independant States)","AJ"
"Azerbaijan",2004,77,416,36.81,"15.80",6,"12.98",1333,46.2,,45,431,1045,"2.18",1119,"CIS (Commonwealth of Independant States)","AJ"
"Azerbaijan",2005,75,335,38.04,"16.90",6.2,"11.20",1312,43.6,1,45,422,"1578.4","1.06",1345,"CIS (Commonwealth of Independant States)","AJ"
"Azerbaijan",2006,77,65,39271,"17.60",6.2,"14.01",951087,"41.1",1,45,372,2473,"1.75",1571,"CIS (Commonwealth of Independant States)","AJ"
"Azerbaijan",2007,77,66,40504,"17.70",6.3,"19.24",982856,"38.9",,45,499,"3851.3","3.4",1763,"CIS (Commonwealth of Independant States)","AJ"
"Azerbaijan",2008,83,83,40403,"17.40",6,"18.85",1108543,"3.6",,45,546,"5574.6",923,1955,"CIS (Commonwealth of Independant States)","AJ"
"Azerbaijan",2009,83,76,40302,"17.00",5.9,"22.89",1135712,"3.5",,45,761,"4950.3",983,2147,"CIS (Commonwealth of Independant States)","AJ"
"Azerbaijan",2010,83,76,40202,"18.30",5.9,"21.90",1120073,"3.5",,45,762,"5843.2","1.08",2339,"CIS (Commonwealth of Independant States)","AJ"
"Bahamas",1999,82,30,,,,,,14.3,,25,8,,,13,"South/Latin America",
"Bahamas",2000,99,32,,,,,,14.3,,25,6,,,234,"South/Latin America",
"Bahamas",2001,99,23,,,,,,14.5,,25,10,,,452,"South/Latin America",
"Bahamas",2002,94,16,,,,,6,14.7,1,25,13,,,672,"South/Latin America",
"Bahamas",2003,92,14,,,,,,14.9,,25,11,,,896,"South/Latin America",
"Bahamas",2004,93,19,,,,,,15.1,,25,7,,,1120,"South/Latin America",
"Bahamas",2005,93,17,,,,,,15.1,,25,16,,,1346,"South/Latin America",
"Bahamas  The",2006,95,88,34225,"15.36",,,,"15.1",,,,,,1572,"South/Latin America",
"Bahamas  The",2007,95,96,31784,"15.43",,,,15,,,,,,1764,"South/Latin America",
"Bahamas  The",2008,77,66,31120,"15.50",,,828235,"36.9",,,,,,1956,"South/Latin America",
"Bahamas  The",2009,76,67,30456,"15.54",,,954358,"35.1",,,,,,2148,"South/Latin America",
"Bahamas  The",2010,75,67,29791,"15.53",,,877911,"33.4",,,,,,2340,"South/Latin America",
"Bahrain",1999,97,26,17.74,"21.72",2.87,"68.85",,11.4,,39,107,"10330.9",,14,"Arab States","BA"
"Bahrain",2000,97,36,17.48,"21.23",2.8,"67.33",,10.9,,39,91,"13562.7","0.0361",235,"Arab States","BA"
"Bahrain",2001,99,31,17.21,"20.75",2.73,"66.74",,10.5,,39,95,"12846.5","0.0088",453,"Arab States","BA"
"Bahrain",2002,98,30,16.94,"20.27",2.66,"66.36",,10.2,,39,79,"13149.3","0.00721",673,"Arab States","BA"
"Bahrain",2003,97,39,16.49,"19.75",2.6,"66.88",,10,,39,163,"14344.9",116,897,"Arab States","BA"
"Bahrain",2004,98,34,16.04,"19.19",2.53,"67.37",,9.8,,39,194,"16027.3","0.0709",1121,"Arab States","BA"
"Bahrain",2005,98,37,15.59,"18.62",2.47,"68.33",,9.7,,39,232,"18156.4","0.0666",1347,"Arab States","BA"
"Bahrain",2006,98,99,15135,"18.05",2.42,"69.07",1191866,"9.5",,39,267,"19459.7","0.0555",1573,"Arab States","BA"
"Bahrain",2007,97,99,14683,"17.52",2.38,"71.00",1102673,"9.3",,39,262,"21049.6","0.0459",1765,"Arab States","BA"
"Bahrain",2008,93,90,14503,"17.05",2.35,"73.33",,"14.9",,39,257,"23037.9","2.53",1957,"Arab States","BA"
"Bahrain",2009,96,98,14324,"16.63",2.32,"72.62",,"14.7",,39,300,"19251.1","0.0297",2149,"Arab States","BA"
"Bahrain",2010,99,94,14144,"16.27",2.31,"71.30",,"14.5",,39,297,20546,"0.11",2341,"Arab States","BA"
"Bangladesh",1999,72,225,"121.18","27.75",7.45,"39.87",1852,67,,97,542,"351.6",,15,"Asia & Pacific","BG"
"Bangladesh",2000,82,225,"116.63","27.03",7.24,"39.02",18408,64.2,,97,548,356,213,236,"Asia & Pacific","BG"
"Bangladesh",2001,85,225,"112.08","26.31",7.05,"39.94",1695,61.5,,97,576,"348.8",183,454,"Asia & Pacific","BG"
"Bangladesh",2002,83,225,"107.53","25.58",6.87,"39.68",15387,59,,97,545,"347.2",135,674,"Asia & Pacific","BG"
"Bangladesh",2003,87,225,"103.76","24.86",6.71,"37.65",15992,56.5,,97,714,373,251,898,"Asia & Pacific","BG"
"Bangladesh",2004,96,225,"100.00","24.14",6.56,"38.78",15400,54,,97,763,"400.5","0.21",1122,"Asia & Pacific","BG"
"Bangladesh",2005,96,225,96.22,"23.44",6.43,"34.90",,51.4,,97,914,"421.1",325,1348,"Asia & Pacific","BG"
"Bangladesh",2006,93,92,92456,"22.80",6.31,"36.49",16398,"48.6",,97,"1.07","427.3","0.22",1574,"Asia & Pacific","BG"
"Bangladesh",2007,95,95,88687,"22.23",6.2,"34.39",1742528,"45.7",,97,"1.41","467.1","1.15",1766,"Asia & Pacific","BG"
"Bangladesh",2008,98,99,87067,"21.73",6.09,"35.63",1055867,"9.1",,97,"1.57","537.6",,1958,"Asia & Pacific","BG"
"Bangladesh",2009,98,99,85448,"21.30",5.99,"36.59",,"8.9",1,97,"1.83","597.7",,2150,"Asia & Pacific","BG"
"Bangladesh",2010,99,99,83828,"20.93",5.9,"36.50",,"8.6",,97,"2.22","664.1",,2342,"Asia & Pacific","BG"
"Barbados",1999,87,0.86,51.4,"13.61",9.89,"65.41",1285,15.4,,50,41,"11314.1","25.2",16,"South/Latin America","BB"
"Barbados",2000,93,1.3,51.1,"13.46",9.94,"65.80",1271,16,,50,32,"11675.2","22.7",237,"South/Latin America","BB"
"Barbados",2001,84,2.6,50.8,"13.35",9.97,"67.56",1563,16.7,,50,59,"11600.4","21.4",455,"South/Latin America","BB"
"Barbados",2002,87,2.1,50.5,"13.26",9.97,"68.78",1345,17.4,1,50,52,"11756.3","15.9",675,"South/Latin America","BB"
"Barbados",2003,89,5.1,50.29,"13.19",9.94,"66.09",1440,17.8,,50,72,"12077.8","15.6",899,"South/Latin America","BB"
"Barbados",2004,93,8,50.08,"13.14",9.88,"65.09",1537,18.2,1,50,94,"12893.6","15.9",1123,"South/Latin America","BB"
"Barbados",2005,92,5.1,49.87,"13.09",9.8,"64.39",1337,18.4,,50,79,14225,"20.3",1349,"South/Latin America","BB"
"Barbados",2006,84,92,49652,"13.04",9.7,"64.76",,"18.5",,50,81,"15691.8","18.1",1575,"South/Latin America","BB"
"Barbados",2007,93,75,49440,"13.00",9.59,"66.66",119617,"18.4",,50,78,16336,"9.99",1767,"South/Latin America","BB"
"Barbados",2008,95,96,49229,"12.96",9.48,"67.45",1503037,"42.8",,50,88,16358,"4.27",1959,"South/Latin America","BB"
"Barbados",2009,96,98,49019,"12.91",9.38,"66.72",1383745,"40.1",,50,83,"16460.8","9.8",2151,"South/Latin America","BB"
"Barbados",2010,95,94,48808,"12.86",9.29,"65.01",,"37.5",,50,84,"15812.3","12.1",2343,"South/Latin America","BB"
"Belarus",1999,99,85,29.5,9.1,"14.10","76.51",1,12.5,1,106,"1.24","1209.6","3.54",17,"CIS (Commonwealth of Independant States)","BO"
"Belarus",2000,99,84,27.64,9.4,"13.50","75.49",5,11.4,,106,"1.25",1273,"3.83",238,"CIS (Commonwealth of Independant States)","BO"
"Belarus",2001,99,82,9.2,"14.10",1244,"4.08e+00",,10.2,,106,"1.37","1244.4","4.08",456,"CIS (Commonwealth of Independant States)","BO"
"Belarus",2002,99,77,23.91,8.9,"14.80","70.49",,9.3,1,106,"1.4","1479.5","4.29",676,"CIS (Commonwealth of Independant States)","BO"
"Belarus",2002,99,77,23.91,8.9,"14.80","70.49",,9.3,1,106,"1.4","1479.5","4.29",677,"CIS (Commonwealth of Independant States)","BO"
"Belarus",2003,50,74,23.66,9,"14.50","73.84",,8.5,1,106,"1.44","1819.5","3.76",900,"CIS (Commonwealth of Independant States)","BO"
"Belarus",2004,99,73,23.41,9.1,"14.30","74.74",0,8,,106,"1.59","2378.4","2.85",1124,"CIS (Commonwealth of Independant States)","BO"
"Belarus",2005,99,72,23.15,9.3,"14.50","72.94",0,7.3,1,106,"1.58","3126.4","2.7",1350,"CIS (Commonwealth of Independant States)","BO"
"Belarus",2006,99,97,22897,9.9,"14.20","70.23",,"6.7",1,106,"1.5","3848.6","2.79",1576,"CIS (Commonwealth of Independant States)","BO"
"Belarus",2007,95,99,22642,"10.70","13.70","69.15",,"6.1",,106,"1.56",4736,"2.77",1768,"CIS (Commonwealth of Independant States)","BO"
"Belarus",2008,85,94,22233,"11.10","13.80","65.08",1203754,"18.2",,106,"1.41","6377.4","2.43",1960,"CIS (Commonwealth of Independant States)","BO"
"Belarus",2009,93,94,21825,"11.40","14.10","64.02",1381932,18,,106,"1.49","5182.6","3.13",2152,"CIS (Commonwealth of Independant States)","BO"
"Belarus",2010,86,85,21416,"11.40","14.50","77.69",1493284,"17.7",,106,"1.48","5818.9","3.03",2344,"CIS (Commonwealth of Independant States)","BO"
"Belgium",1999,87,13,10.49,"11.10","10.26","74.58",,5,49,454,"12.28","24886.9","9.18",18,"Europe","BE"
"Belgium",2000,95,14,10.64,"11.20","10.20","74.61",,4.7,71,454,"11.71",22697,"10.7",239,"Europe","BE"
"Belgium",2001,95,15,10.79,"11.10","10.10","75.41",12175,4.6,71,454,"12.18","22600.9","10.9",457,"Europe","BE"
"Belgium",2002,95,13,10.95,"10.80","10.20","73.80",12242,4.4,25,454,"13.03","24465.3","8.88",678,"Europe","BE"
"Belgium",2003,95,12,10.84,"11.00","10.30","75.19",11808,4.2,33,454,"15.38","30039.1","8.94",901,"Europe","BE"
"Belgium",2004,95,12,10.72,"11.30",9.7,"76.01",12117,4.1,19,454,"16.81","34706.7","8.56",1125,"Europe","BE"
"Belgium",2005,97,12,10.61,"11.40",9.9,"76.12",11429,4,15,454,"18.94","36011.5","8.86",1351,"Europe","BE"
"Belgium",2006,99,92,10499,"11.60",9.6,"73.83",1234406,"3.9",12,454,"19.53","37918.8","8.4",1577,"Europe","BE"
"Belgium",2007,99,92,10386,"11.70",9.5,"73.35",1244591,"3.8",9,454,"20.76","43255.4","7.44",1769,"Europe","BE"
